PROFILE,ACCOUNT_NUM,REGION,TITLE_ID,RESULT,SCORED,LEVEL,TITLE_TEXT,NOTES
default,073829439974,us-west-2,0.0,INFO,Not Scored,Support,Show report generation info,ARN: arn:aws:iam::073829439974:user/arvind.batra  TIMESTAMP: 2019-07-17T19:23:54+0000
default,073829439974,us-west-2,1.1,INFO,Scored,Level 1,[check11] Avoid the use of the root account (Scored),Root account last accessed (password key_1 key_2): 2019-06-07T22:18:55+00:00 N/A N/A
default,073829439974,us-west-2,1.2,FAIL,Scored,Level 1,[check12] Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password (Scored),User anant.mahajan has Password enabled but MFA disabled
default,073829439974,us-west-2,1.2,FAIL,Scored,Level 1,[check12] Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password (Scored),User sakshi.kathuria has Password enabled but MFA disabled
default,073829439974,us-west-2,1.3,FAIL,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "anandh.ravindran" has not logged in during the last 90 days 
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "anant.mahajan" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "arijit.banerjee" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "arvind.batra" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,FAIL,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "ben.southward" has not logged in during the last 90 days 
default,073829439974,us-west-2,1.3,FAIL,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "deepshikha" has not logged in during the last 90 days 
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "jai.shankar" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "kapil.garg" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "nishant.pathak" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "nithya" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "nitish.kumar@rubrik.com" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "pankajkumar" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "praveen.sp" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "prudhvi.dharmana" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "rohit.mohite" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "sai.katuri" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "sakshi.kathuria" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "saurabh.vashisth" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User "suvarna.ahire" found with credentials used in the last 90 days
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), arijit.banerjee has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), cloud-on-full-ec2 has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), deepak.sheoran has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), deepshikha has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), DevCloudOnGroup4.2 has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), DummyExperiment has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), it-ops has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), it-read-only-user has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), kapil.garg has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), nis-39022 has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), nishant.pathak has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), nithya has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), nitish.kumar@rubrik.com has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), pankajkumar has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), rohit.mohite has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), spark-cloud-accounts-dev-101-23a9dca8-4fc3-11e9-931b-34e12d5ea1d has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), suvarna.ahire has not rotated access key1 in over 90 days.
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), cloud-on-full-ec2 has not rotated access key2 in over 90 days. 
default,073829439974,us-west-2,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored), spark-cloud-accounts-dev-101-23a9dca8-4fc3-11e9-931b-34e12d5ea1d has not rotated access key2 in over 90 days. 
default,073829439974,us-west-2,1.5,PASS,Scored,Level 1,[check15] Ensure IAM password policy requires at least one uppercase letter (Scored),Password Policy requires upper case
default,073829439974,us-west-2,1.6,PASS,Scored,Level 1,[check16] Ensure IAM password policy require at least one lowercase letter (Scored),Password Policy requires lower case
default,073829439974,us-west-2,1.7,PASS,Scored,Level 1,[check17] Ensure IAM password policy require at least one symbol (Scored),Password Policy requires symbol
default,073829439974,us-west-2,1.8,PASS,Scored,Level 1,[check18] Ensure IAM password policy require at least one number (Scored),Password Policy requires number
default,073829439974,us-west-2,1.9,FAIL,Scored,Level 1,[check19] Ensure IAM password policy requires minimum length of 14 or greater (Scored),Password Policy missing or weak length requirement
default,073829439974,us-west-2,1.10,FAIL,Scored,Level 1,[check110] Ensure IAM password policy prevents password reuse: 24 or greater (Scored),Password Policy has weak reuse requirement (lower than 24)
default,073829439974,us-west-2,1.11,FAIL,Scored,Level 1,[check111] Ensure IAM password policy expires passwords within 90 days or less (Scored),Password expiration is not set
default,073829439974,us-west-2,1.12,PASS,Scored,Level 1,[check112] Ensure no root account access key exists (Scored),No access key 1 found for root
default,073829439974,us-west-2,1.12,PASS,Scored,Level 1,[check112] Ensure no root account access key exists (Scored),No access key 2 found for root
default,073829439974,us-west-2,1.13,PASS,Scored,Level 1,[check113] Ensure MFA is enabled for the root account (Scored),Virtual MFA is enabled for root
default,073829439974,us-west-2,1.14,FAIL,Scored,Level 2,[check114] Ensure hardware MFA is enabled for the root account (Scored),Only Virtual MFA is enabled for root
default,073829439974,us-west-2,1.15,INFO,Not Scored,Level 1,[check115] Ensure security questions are registered in the AWS account (Not Scored),No command available for check 1.15 
default,073829439974,us-west-2,1.15,INFO,Not Scored,Level 1,[check115] Ensure security questions are registered in the AWS account (Not Scored),Login to the AWS Console as root & click on the Account 
default,073829439974,us-west-2,1.15,INFO,Not Scored,Level 1,[check115] Ensure security questions are registered in the AWS account (Not Scored),Name -> My Account -> Configure Security Challenge Questions 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),anandh.ravindran has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),anant.mahajan has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),anuj.agrawal has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),arijit.banerjee has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),arvind.batra has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),ben.southward has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),cloud-on-full-ec2 has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),deepak.sheoran has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),deepshikha has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),DummyExperiment has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),it-ops has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),it-read-only-user has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),jai.shankar has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),kapil.garg has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),nishant.pathak has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),nithya has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),nitish.kumar@rubrik.com has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),pankajkumar has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),praveen.sp has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),prudhvi.dharmana has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),rohit.mohite has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),sai.katuri has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),sakshi.kathuria has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),saurabh.vashisth has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),storm_manager_validation has managed policy directly attached 
default,073829439974,us-west-2,1.16,FAIL,Scored,Level 1,[check116] Ensure IAM policies are attached only to groups or roles (Scored),suvarna.ahire has managed policy directly attached 
